canonical_name,variants,reasoning
Market Items,"['(M) Baguette (The General Muir)', '(M) Breakfast Buns', '(M) C Town Sauce', '(M) Char Siu Bao', '(M) Chicken & Dumplings', '(M) Chicken Noodle', '(M) Chili Crisp', '(M) Cioppino', '(M) Duck Sauce', '(M) Egg Rolls - Mushroom', '(M) Egg Rolls - Shrimp', '(M) Eggplant Parmesan', '(M) Family Size Mac N Cheese Quart', '(M) Fermented Black Bean Ribs', '(M) Fresh Frozen Pasta', '(M) Gift Sampler', '(M) Hasselback Potatoes', '(M) House Pickles', '(M) Hunter Cattle Grass-Fed Ribeye', '(M) Hunter Cattle Pastured Bacon', '(M) Hunter Cattle Pork Chops', '(M) Hunter Cattle Pork Chops (2)', '(M) Jams', '(M) Jerky', '(M) Jiayou Chili', '(M) Kolaches', '(M) Lasagna', '(M) Lasagna Casserole', '(M) Lo Mai Gai', '(M) Mac N Cheese', '(M) Meatloaf', ""(M) Papa Chan'S Chicken Wings"", '(M) Pizza Rolls', '(M) Pomodoro Sauce', '(M) Pot Pie', '(M) Potstickers', '(M) Ribs', '(M) Ricotta Meatballs', '(M) Salmon Dip', '(M) Sancocho', '(M) Sancocho Kit', '(M) Soups', '(M) Spinach Casserole', '(M) Stroganoff', '(M) Stuffed Mushrooms', 'Chomp Spoon', 'Ipsum']",
Market Pasta,"['Market Pasta', 'Chicken Pasta']",Individual item (form factor split)
Market Poptart,['Market Poptart'],Individual item (form factor split)
Market Pot Pie,"['Market Pot Pie', 'Chicken Pot Pie']",Individual item (form factor split)
Market Stroganoff,['Market Stroganoff'],Individual item (form factor split)
Meatloaf,['Meatloaf'],Individual item (form factor split)
Mikkelsens,['Mikkelsens'],Individual item (was in misc group)
Mixed Berry Fry Pie,"['Mixed Berry Fry Pie', 'Pie']",Individual item (form factor split)
Mn Big Softy,['Mn Big Softy'],Individual item (was in misc group)
Monday Night,['Monday Night'],Individual item (was in misc group)
Mongolian Beef,"['Mongolian Beef', 'Mongolian Beef & Grits', 'Mongolian Beef Bao', 'Mongolian Beef Bowl', 'Mongolian Beef Egg Rolls', 'Mongolian Beef French Tacos', 'Mongolian Beef Fried Rice', 'Mongolian Beef Loaded Baked Potato', 'Mongolian Beef Pizza', 'Mongolian Beef Poutine', 'Mongolian Beef Quesadilla', 'Mongolian Beef Rice Bowl & Egg', 'Mongolian Beef Taco', 'Mongolian Bok Choy', 'Mongolian Bowl', 'Mongolian Pizza', 'Mongolian Potato', 'Mongolian Beef Grits']",Mongolian beef variants.
Mongolian Beef Cheesesteak,"['Milltown Mongolian Beef Cheesesteak', 'Mongolian Beef Cheesesteak', 'Mongolian Cheesesteak']","Same dish, naming variants"
Moos In A Blanket,['Moos In A Blanket'],Individual item (form factor split)
Moules Marinieres,['Moules Marinieres'],Individual item (form factor split)
Moussaka,['Moussaka'],Individual item (form factor split)
Mousse,"['Almond Cookie Chocolate Mousse Sundae', 'Chocolate Mousse', 'Chocolate Mousse, Orange Zest, Shaved Salt', 'Coconut Chocolate Mousse', 'Duck Duck Mousse', 'Mousee', 'Mousse', 'Mousse Cookie', 'Mousse Sandwich', 'Mousse Sundae']",Mousse variants.
Mr. Big Is Dead,['Mr. Big Is Dead'],Individual item (was in misc group)
Mushroom,"['All The Mushrooms Pizza', 'Chanterelles', 'Drunk Mushroom Fried Rice', 'Drunk Mushroom Riblets', 'Exotic Mushroom Scramble', 'Fried Maitake Mushrooms', 'Fried Maitake Mushrooms (Yum Cha)', 'Fried Mushrooms', 'Grilled Chanterelles Salad', 'Hoisin Mushroom Bao', 'Hoison Mushroom Tostado', 'Lions Mane Arancini Squares', 'Mushroom Bao', 'Mushroom Lo Mein', 'Mushroom Melt', 'Mushroom Shawarma Pita', 'Mushroom Stroganoff', 'Mushroom Toast', 'Mushroom Umami Soup', 'Mushroom Wellington', 'Southern Cap Shrooms', 'Zhug-Shroom Pizza']",Split from mixed-category Mushroom - neutral items
Muskmelon Cantelope,['Muskmelon & Cantelope'],Individual item (form factor split)
Mussels,"[""Chris' Car"", 'Mussels']",Individual item (form factor split)
Nachos,"['Achiote Pork Nachos', 'Avocado Potato Nachos', 'Breakfast Nachos', 'Breakfast Pork Nachos', 'Crispy Potato Nachos', 'Guacamole Potato Nachos', 'Kimchi Breakfast Nachos', 'Loaded Gunsmoke Nachos', 'Nacho Fries', 'Nachos', 'Sheet Pan Nachos', 'Smashed Fingerling Nachos', 'Smashed Potato Nachos', 'Vietnamese Pork Breakfast Nachos']",Nachos variants.
New Realm,['New Realm'],Individual item (was in misc group)
Noodles,"['Cantonese Noodles (Market)', 'Chilled Glass Noodles', 'Cold Noodles', 'Herb Tagliatelle', 'Longevity Noodles', 'Rice Noodles And Spaghetti Sauce', 'Spicy Peanut Noodles', 'Szechuan Linguini']",Split from mixed-category Noodles - neutral items
Nye Dinner,['Nye Dinner'],Individual item (was in misc group)
Nye Dinner Allergy Or Special,['Nye Dinner Allergy Or Special'],Individual item (was in misc group)
Omelette Of The Day,['Omelette Of The Day'],Individual item (form factor split)
Omurice Omelette,['Omurice Omelette'],Individual item (form factor split)
One Pound Of Jenchan'S Smoked Pastured Chicken Salad,"[""One Pound Of Jenchan'S Smoked Pastured Chicken Salad""]",Individual item (was in misc group)
Onetable,['Onetable'],Individual item (was in misc group)
Open Item,['Open Item'],Individual item (was in misc group)
Osso Bucco,['Osso Bucco'],Individual item (form factor split)
Oyster,"['Beausoleil Oysters', 'Fried Oyster Appetizer', 'Fried Oyster Poboy', 'Fried Oyster Taco', 'Fried Oysters', 'Oysters On The Half Shell']",Oyster variants.
Panko Fried Green Hill,['Panko Fried Green Hill'],Individual item (form factor split)
Panna Cotta,"['Bronze Fennel Panna Cotta', 'Buttermilk Panna Cotta Blueberry Jam', 'Buttermilk Panna Cotta With Blackberry Chartreuse', 'Buttermilk Panna Cotta With Peach Mango Compote']",Panna cotta variants.
Papa'S Fried Crappie,"[""Papa'S Fried Crappie""]",Individual item (form factor split)
Peaches,"['Frangipane Peach Tart', 'Peach Bread Pudding', 'Peach Cobbler', 'Peach Frangipane', 'Peach Granola', 'Pearson Farm Peaches', 'Pearson Peaches Cream', 'Teaches Of Peaches']",Peaches dessert variants.
Peanut Noodle Salad,['Peanut Noodle Salad'],Individual item (form factor split)
Pei Mussels,['Pei Mussels'],Individual item (form factor split)
Pei Mussels Special,['Pei Mussels Special'],Individual item (form factor split)
Pizza,"['""007"" Pizza', '""Shorty"" Pizza', 'All The Mushrooms Pizza', 'C-Town Pizza', 'C-Town Slice Special', 'Carrot Top Pesto Slice Special', 'Chili Cheesy Pizza', 'Chomp Pizza', 'Coco Curry Pizza', 'Fromage Blanc Pizza', 'Georgia On My Mind Slice', 'Gluten Free Pizza', 'Gluten Free Special Pizzas', 'Homemade Pizza Rolls', 'House Pizza', 'Lap Cheong Pizza', 'Lazzagna Pizza', 'Mexican Pizza', 'Mik Chan Pizza', 'Mongolian Pizza', 'Name This Pizza Pizza', 'Pizza', 'Pizza (10”)', 'Pizza Egg Rolls', 'Pizza For Breakfast', 'Pizza Smashed Potatoes', 'Pizza Special', 'Slice Of Pizza', 'Spinach Dip Pizza', 'Street Pizza', 'Sunday Vibes Pizza', 'When Figs Pie', 'Zhug-Shroom Pizza', 'Pizza Slice']",Pizza items
Plantains,"['Fried Plantains', 'Fried Plantains & Gado Gado Sauce', 'Maduros (Fried Sweet Plantains)']",Plantain variants.
Poptart,"['Pop Tart', 'Poptart']","Same pastry, spacing variant"
Pork Bao,"['Chai Tea Pork Bao', 'Hoisin Bacon Bao', 'Pork Bao', 'Red Yeast Pork Bao']",Split from mixed-category Bao - pork items
Pork Belly,"['Hoison Pork Belly', 'Pork Belly Benny', 'Pork Belly Bites', 'Pork Belly Mac And Cheese', 'Pork Belly Taco', 'Papalo Pork Belly']",Pork belly variants.
Pork Benedict,['Pork Belly Benny'],Split from mixed-category Benedict - pork items
Pork Biscuit,"['Biscuit Sausage Gravy', 'Biscuit, Ham, Egg', 'Biscuit, Ham, Syrup', 'Biscuit, Pork', 'Biscuit, Sausage, Egg']",Split from mixed-category Biscuit - pork items
Pork Bowl,['Vegan Pork Bowl'],Split from mixed-category Bowl - pork items
Pork Burger,['Jamaican Jerk Hamburger Steak'],Split from mixed-category Burger - pork items
Pork Egg Roll,"['Achiote Pork Egg Roll', 'Achiote Pork Egg Rolls', 'Pork Egg Rolls', 'Pork Or Tofu Egg Rolls']",Split from mixed-category Egg Roll - pork items
Pork Entrees,"['Gorgonzola Pork Chop & Roasted Broccoli', 'Papalo & Pork Belly', 'Pork & Greens', 'Pork Chop & Eggs', 'Stuffed Pork Tender &  Eggs', 'Stuffed Pork Tenderloin', 'Twice Baked Potato And Maple Sausage']",Split from mixed-category Entrees - pork items
Pork Fried Rice,"['Achiote Pork Fried Rice', 'Pork Fried Rice', 'Pork Fried Rice Entree', 'Vietnamese Pork Fried Rice Brunch', 'Fried Rice W Tenderloin Tips', 'Tenderloin Tips Fried Rice']",Split from mixed-category Fried Rice - pork items
Pork Fries,['Hot Ham Cheese Fries'],Split from mixed-category Fries - pork items
Pork Jook,['Vietnamese Pork Jook'],Split from mixed-category Jook - pork items
Pork Mac Cheese,"['Loaded Potato & Pork', 'Pork Belly Mac And Cheese', 'Pork Mac N Cheese', 'Pork Shoulder Mac Cheese']",Split from mixed-category Mac Cheese - pork items
Pork Meatball,['Vietnamese Pork Meatball'],Split from mixed-category Meatball - pork items
Pork Noodles,['Vietnamese Pork Crispy Noodles'],Split from mixed-category Noodles - pork items
Pork Pizza,['Vietnamese Pork Pizza'],Split from mixed-category Pizza - pork items
Pork Pork,"['Chai Tea Pork Bao', 'Chili Lime Tortilla Pork', 'Pork Butt Egg Cheese', 'Pork Chop', 'Pork Egg Rolls', 'Pork Fried Rice Entree', 'Pork Mac N Cheese', 'Pork Or Tofu Egg Rolls', 'Pork Taco Egg Roll', 'Pork Tenderloin', 'Pork Tenderloin Special', 'Red Yeast Pork Bao', 'Scrambled Eggs And Pork']",Split from mixed-category Pork - pork items
Pork Quesadilla,"['Pork Quesadilla', 'Vietnamese Pork Quesadilla']",Split from mixed-category Quesadilla - pork items
Pork Roll Egg Cheese,"['Pork Egg N Cheese Roll', 'Pork Roll Egg Cheese', 'Pork Roll Egg Cheese Please']","Same sandwich, naming variants"
Pork Salad,['Bacon Charred Caesar'],Split from mixed-category Salad - pork items
Pork Sandwich,"['Banh Mi Hot Dog (Vegan Version Available)', ""Jen'S Cold Cut""]",Split from mixed-category Sandwich - pork items
Pork Scramble,"['Scrambled Eggs And Pork', 'Vegan Sausage Scramble']",Split from mixed-category Scramble - pork items
Pork Sides,"['Roasted Fennel Bacon Jam', 'Side Of Bacon', 'Side Of House Smoked Bacon']",Split from mixed-category Sides - pork items
Pork Taco,"['Bacon Is My Jam Taco', 'Pork Belly Taco', 'Pork Taco Egg Roll', 'Thit Bacon Taco', 'Vietnamese Pork Taco', 'Vietnamese Pork Tacos']",Split from mixed-category Taco - pork items
Pork Tostada,['Thit Bacon Tostado'],Split from mixed-category Tostada - pork items
Pork Wonton,['Pork Wonton'],Split from mixed-category Wonton - pork items
Portlandia,['Portlandia'],Individual item (was in misc group)
Pot Roast,['Pot Roast'],Individual item (form factor split)
Potato Salad,['Potato Salad'],Individual item (form factor split)
Potato Salad (Quart),['Potato Salad (Quart)'],Individual item (form factor split)
Potatoes,"['Cauliflower Potato Hash', 'Cheesy Potato And Egg', 'Cheesy Potato Skin', 'Crispy Potato Nachos', 'Fried Potato And Egg', 'Fried Potato Egg Salad', 'Fried Potato Pancake', 'Fried Smashed Potatoes', 'Guacamole Potato Nachos', 'Guacamole Potato Tostado', 'Hashbrown Of The Day', 'Hashbrown Scramble', 'Loaded Hash', 'Loaded Hashbrowns', 'Loaded Potato Skins', 'Loaded Smashed Potatoes', 'Mashed Potatoes & Ribs', 'Pizza Smashed Potatoes', 'Potato Egg Salad Pimiento Grilled Cheese', 'Potato Hash', 'Potato Hash Over Easy Egg', 'Potato Salad', 'Potato Salad (Quart)', 'Potato Soup', 'Potato Sticks', 'Potatoes & Onions', 'Smashed Fingerling Nachos', 'Smashed Potato Nachos', 'Smashed Szechuan Cucumbers', 'Stuffed Sweet Potato', 'Sweet Potato Bites', 'Sweet Potato Hash', 'Sweet Potatoes', 'Twice Baked Potato', 'Zhug Potatoes', 'Mashed Potatoes Ribs', 'Potatoes Onions', 'Twice Baked Maple Sausage', 'Veggie Fried Potato Hash']",Split from mixed-category Potatoes - neutral items
Potstickers,"['Deep Fried Pot Stickers', 'Fried Potstickers', 'Pot Stickers', 'Pot Stickers (8)', 'Potstickers (4)', 'Potstickers (8)', 'Yum Cha Pot Stickers']","Same dish, quantity/spacing variants"
Poultry Bao,['Duck Bao Mi'],Split from mixed-category Bao - poultry items
Poultry Chicken,"['Achiote Chicken', 'Almond Chicken Or Tofu', 'Brie Stuffed Chicken', 'Chicken Chilaquiles', 'Chicken Chilaquilese', 'Chicken Crunch Wrap', 'Chicken Florentine', 'Chicken Katsu', 'Chicken Lettuce Wraps', 'Chicken Miknuggets', 'Chicken Parmesan', 'Chicken Pot Pie', 'Chicken Salad', 'Chicken Salad Lettuce Wraps', 'Confit Turkey Wing', ""General Tsao'S Chicken Or Beyond Chicken"", ""General Tsao'S Chicken Or Tofu"", 'Gochujang Hot Chicken', 'Hainanese Chicken', ""Meema'S Chicken"", 'Romesco Chicken', 'Side Chicken', 'Soy Sauce Chicken', 'Soy Sauce Orange Chicken', 'Szechuan Chicken Bowl', 'Szechuan Chicken Gordita', 'Szechuan Chicken Salad Slider', 'Szechuan Chicken Sandwich', 'Szechuan Chicken Sliders', 'Whole Organic Chicken']",Split from mixed-category Chicken - poultry items
Poultry Entrees,"['Fried Quail Succotash', 'Southern Fried Quail']",Split from mixed-category Entrees - poultry items
Poultry Fried Rice,"['Bbq Chicken Or Kimchi Fried Rice', 'Bbq Chicken, Kimchi, Or Tofu Fried Rice', 'Fried Rice With Flank Steak, Bbq Chicken, Tofu, Or Kimchi']",Split from mixed-category Fried Rice - poultry items
Poultry Kids,"['(K) Kids Chicken And Rice', ""Kid'S Chicken Breast With Honey Mustard"", ""Kid'S Chicken Tenders Honey Mustard"", ""Kid'S Fried Chicken With Ranch""]",Split from mixed-category Kids - poultry items
Poultry Mexican,"['French Onion Chicken Gordita Crunch Wrap', 'Poblano Chicken Gordita']",Split from mixed-category Mexican - poultry items
Poultry Pizza,"['Buffalo Chicken Katsu Pizza', 'Buffalo Chicken Pizza', 'Coco Curry Pizza (Tofu Or Chicken)', 'What The Duck Pizza']",Split from mixed-category Pizza - poultry items
Poultry Poutine,"['Duck Fries', 'Duck Poutine']",Split from mixed-category Poutine - poultry items
Poultry Salad,"['Charred Romaine, Fennel, Chicken Or Tofu', 'Chicken Caesar Salad', 'Chicken Salad', 'Chicken Salad Lettuce Wraps', 'Crispy Chicken Asian Salad', 'Crispy No Chicken Asian Salad', 'Duck Salad', 'Hoisin Duck Salad', 'Katsu Fried Chicken Farm Salad', 'Smoked Chicken Salad & Romaine']",Split from mixed-category Salad - poultry items
Poultry Sandwich,['Buffalo Katsu Chicken Or Tofu Sandwich'],Split from mixed-category Sandwich - poultry items
Poultry Taco,"['Duck Tacos (3)', 'Fried Chicken Taco', 'Katsu Chicken Taco', 'Kung Pao Chicken Taco', 'Smoked Duck Taco']",Split from mixed-category Taco - poultry items
Poutine,"['Brat Poutine', ""Lion'S Mane Poutine"", 'Poutine']",Poutine
Prawns A La Plancha,['Prawns A La Plancha'],Individual item (form factor split)
Proteins,['Proteins'],Individual item (was in misc group)
Pumpkin Pancakes,['Pumpkin Pancakes'],Individual item (form factor split)
Pupusa Popup,['Pupusa Popup'],Individual item (form factor split)
Queso,['Queso'],Individual item (form factor split)
Quiche,"['Quiche', 'Quiche Yum Cha']",Quiche
Radish Wraps,['Radish Wraps'],Individual item (form factor split)
Rainbow Carrots Kale,['Rainbow Carrots & Kale'],Individual item (form factor split)
Ravioli,['Ravioli'],Individual item (form factor split)
Red Braised Szechuan Pork Cheeks,['Red Braised Szechuan Pork Cheeks'],Individual item (form factor split)
Red Rider,['Red Rider'],Individual item (was in misc group)
Ribs,"['Black Bean Ribs', 'Caribbean Ribs & Rice', 'Chinese Bbq Ribs', 'Chinese Smoked Ribs', 'Fermented Black Bean Pork Ribs', 'Fermented Black Bean Ribs Dinner Special', 'Korean Bulgogi Ribs', 'Ribs', 'Southern Bbq Ribs', 'Spare Ribs', 'St. Louis Style Overnight Smoked Pastured Pork Bbq Ribs', 'Sweet & Sour Pork Ribs', 'Caribbean Ribs Rice', 'Mashed Potatoes Ribs']",Ribs variants.
Rice Bowl,"['Rice Bowl', 'Caribbean Ribs Rice']",Individual item (form factor split)
Ricotta Pancakes,['Ricotta Pancakes'],Individual item (form factor split)
Ricotta Pomodoro Poached Eggs,['Ricotta Pomodoro Poached Eggs'],Individual item (form factor split)
Ricotta Zeppole,['Ricotta Zeppole'],Individual item (form factor split)
Roasted Beet Goat Yogurt,['Roasted Beet & Goat Yogurt'],Individual item (form factor split)
Roasted Beets,['Roasted Beets'],Individual item (form factor split)
Roasted Chickpeas,['Roasted Chickpeas'],Individual item (form factor split)
Roasted Vidalia Onion,"['Charred Corn, Tom. & Vidalia', 'Roasted Vidalia Onion', 'Roasted Vidalia Onion & Fennel', 'Roasted Vidalia Onion & Peas', 'Roasted Vidalia Onion & Radish', 'Smoked Corn, Tom. & Vidalia']",Individual item (form factor split)
Ropa Vieja,"['Ropa Vieja', 'Ropa Vieja Arepa', 'Ropa Vieja Arepa (Beef Or Jackfruit)']",Ropa vieja variants.
Royal Red Shrimp Boil,['Royal Red Shrimp Boil'],Individual item (form factor split)
Ruthie'S Sweets,"[""Ruthie'S Sweets""]",Individual item (form factor split)
Salad,['Salad'],Individual item (form factor split)
Salmon,"['Charred Caesar Salmon Belly', 'Endive And Smoked Salmon', 'Ginger Lime Salmon Special', 'Orange Salmon', 'Pan Seared Salmon', 'Roasted Trout Belly Charred Caesar', 'Romaine & Smoked Salmon', 'Salmon', 'Salmon & Cabbage', 'Salmon & Endive', 'Salmon & Napa', 'Salmon & Rice', 'Salmon & Snow Peas', 'Salmon And Grits', 'Salmon Croquette', 'Salmon Croquettes', 'Salmon N Rice Cake', 'Salmon Raita', 'Salmon Special', 'Salmon Zhug Fingerlings', 'Side Salmon', 'Smoke Salmon & Flowering Chive', 'Smoked Salmon', 'Smoked Salmon & Flowering Chive', 'Smoked Salmon & Sorrel', 'Smoked Salmon And Rice', 'Smoked Salmon Belly', 'Smoked Salmon Dip', 'Smoked Salmon Fritters', 'Smoked Salmon Lettuce Cup', 'Smoked Salmon Salad', 'Smoked Salmon Succatash', 'Smoked Salmon Succotash', 'Smoked Salmon Sunny Up Egg', 'Soft Smoked Salmon', 'Soy Sauce Salmon', 'Special Smoked Salmon Dip', 'Salmon Napa', 'Salmon Rice', 'Smoked Salmon Sorrel']",Salmon variants.
Salt Pepper Squid,['Salt & Pepper Squid'],Individual item (form factor split)
Sandwich,"['Bologna Sandwhich', 'Bologna Slider', 'C-Town Fried Sandwich', 'C-Town Mi', 'Country Croque', 'House Sub', 'Mediterranean Sammy', 'Monte Cristo', 'Pita Melt', ""Q'S Banh Mi Cabbagetown"", 'Rou Jia Mo', 'Slainte Sammy', 'Sloppy Jen', 'Sloppy Joe', 'Torta']",Split from mixed-category Sandwich - neutral items
Sandwich 2,['P-Chz Bologna Sandwich'],Bologna sandwich
Satsuma Orange Steamed Egg,['Satsuma Orange Steamed Egg'],Individual item (form factor split)
Sauces,"['C Town Sauce Market', 'Curry Paste (Market)', 'Sauces', 'This Is Bbq Rub', 'This Is Taco Seasoning']",Individual item (form factor split)
Sausage,"['Bratwurst', 'Maple Sausage & Grits', 'Sausage Egg & Cheese', 'Sausage Egg And Cheese Kaiser', 'Sausage Gravy & Eggs', 'Sausage Gravy Calzone', 'Sausage Patty', 'Twice Baked & Maple Sausage', 'Twice Baked & Viet Pork', 'Twice Baked & Vietnamese Sausage', 'Vegan Sausage Scramble', 'Vegetarian Sausage Egg & Cheese', 'Side Of Sausage']",Sausage variants.
Scallion Pancake,['Scallion Pancake'],Individual item (form factor split)
Scallops Rockefeller,['Scallops Rockefeller'],Individual item (form factor split)
Scone,['Scone'],Individual item (form factor split)
Scramble,"['Exotic Mushroom Scramble', 'Feta Tomato Scramble', 'Hashbrown Scramble', 'Kitchen Sink Scramble', 'Scramble', 'Scramble Of The Day', 'Spinach And Tomato Scramble', 'Tomato, Broccoli, Goat Cheese Scramble', 'Tomato, Goat, Scramble', 'Tomato, Green Hill, Scramble', 'Tomato, Mushroom, Goat Cheese Scramble']",Split from mixed-category Scramble - neutral items
Sea Scallops,['Sea Scallops'],Individual item (form factor split)
Seasonal Salad,['Seasonal Salad'],Individual item (form factor split)
Seasonal Vegetable,['Seasonal Vegetable'],Individual item (form factor split)
Seasonal Vegetable Side,['Seasonal Vegetable Side'],Individual item (form factor split)
Sesame Tuna,['Sesame & Tajin Seared Tuna'],
Shakshuka Cream,['Shakshuka Cream'],Individual item (was in misc group)
Shellfish Bao,['Blue Oyster Mushroom Bao'],Split from mixed-category Bao - shellfish items
Shellfish Egg Roll,['Shrimp Egg Rolls'],Split from mixed-category Egg Roll - shellfish items
Shellfish Fries,"['Soft Shell Crab French Fries', 'Soft Shell Crab Fries']",Split from mixed-category Fries - shellfish items
Shellfish Grits,"['Shrimp & Cheese Grits', 'Shrimp & Grits', 'Shrimp & Pimiento Cheese Grits', 'Tomato Jam Shrimp & Grits', 'Shrimp Grits', 'Shrimp Pimiento Cheese Grits', 'Tomato Jam Shrimp Grits']",Split from mixed-category Grits - shellfish items
Shellfish Kids,['Kids Shrimp And Rice'],Split from mixed-category Kids - shellfish items
Shellfish Mac Cheese,['Crab Mac N Cheese'],Split from mixed-category Mac Cheese - shellfish items
Shellfish Mexican,['Fried Shrimp Or Fried Tofu Tacos'],Split from mixed-category Mexican - shellfish items
Shellfish Mushroom,"['Blue Oyster Mushroom Bao', 'Stuffed Blue Oyster Mushroom']",Split from mixed-category Mushroom - shellfish items
Shellfish Noodles,"['Crab Noodles', 'Ginger Shrimp Crispy Noodles', 'Shrimp N Noodles']",Split from mixed-category Noodles - shellfish items
Shellfish Salad,"['Hawaiian Garlic Shrimp Macaroni Salad', 'Tropical Shrimp Salad', 'Yogurt Dill Jumbo Shrimp Salad']",Split from mixed-category Salad - shellfish items
Shellfish Scramble,"['Lump Crab Scramble', 'Shrimp Scramble']",Split from mixed-category Scramble - shellfish items
Shellfish Taco,"['Fried Oyster Taco', 'Fried Shrimp Taco']",Split from mixed-category Taco - shellfish items
Shellfish Wonton,['Shrimp Rangon'],Split from mixed-category Wonton - shellfish items
Shrimp,"['Ginger Shrimp Crispy Noodles', 'Ginger Sriracha Shrimp Roll', 'Grilled Jumbo Bbq Shrimp Caesar', 'Hawaiian Garlic Shrimp Macaroni Salad', 'Hh Shrimp Cocktail', 'Jumbo Ginger Beer Or Chicken Shrimp Lo Mein', 'Jumbo Ginger Beer Or Fried Chicken Shrimp Lo Mein', 'Jumbo Ginger Beer Shrimp Lo Mein', 'Kerala Shrimp Moiliee (Coconut Curry)', 'Kids Shrimp And Rice', 'Milltown Fried Shrimp Or Fried Tofu Tacos', 'Milltown Panko Jumbo Fried Shrimp Dinner (8)', ""Mr. B'S Bbq Shrimp"", 'N.O. Bbq Shrimp', 'New Orleans Style Bbq Shrimp', 'Rock Shrimp', 'Rock Shrimp Roll', 'Shrimp Cheong Fun', 'Shrimp Cocktail', 'Shrimp Dip', 'Shrimp Egg Rolls', 'Shrimp N Noodles', 'Shrimp Rangon', 'Shrimp Risotto', 'Shrimp Scramble', 'Shrimp Toast', 'Shrimp Zhug Fingerlings', 'Side Shrimp (5) Skewer', 'Side Shrimp Skewer', 'Szechuan Shrimp', 'Szechuan Shrimp Cocktail', 'Tahini Shrimp', 'Tropical Shrimp Salad', 'Yogurt Dill Jumbo Shrimp Salad']",Shrimp variants.
Shrimp Po' Boy,"[""Shrimp Po' Boy"", ""Shrimp Po'Boy""]","Same sandwich, apostrophe variant"
Side Caesar Salad,['Side Caesar Salad'],Individual item (form factor split)
Side Chips,['Side Chips'],Individual item (form factor split)
Side Fried Rice,"['Side Fried Rice', ""Heap O' Fried Rice Mushrooms""]","Same side dish, wording variant"
Side Fries,"['Side Fries', 'Side Of Fries']","Same side, wording variant"
Side Of Asian Slaw,['Side Of Asian Slaw'],Individual item (form factor split)
Side Of Kimchi,"['Side Of Kimchi', 'Side Of Kimchi Collards']",
Side Of Kimchi Collards,['Side Of Kimchi Collards'],Individual item (form factor split)
Side Of White Rice,"['Ginger Jasmine Rice', 'Ginger Nishiki Rice', 'Jasmine Rice', 'Side Of White Rice', 'White Rice', 'White Rice & Eggs', 'White Rice & Soft Scrambled Eggs', 'White Rice Eggs', 'White Rice Soft Scrambled Eggs']",Individual item (form factor split)
Side Salad,['Side Salad'],Individual item (form factor split)
Side Slaw,['Side Slaw'],Individual item (form factor split)
Sides,['Sides'],Individual item (form factor split)
Skate Wing And Bacon Banh Mi,"['Skate Wing And Bacon Banh Mi', 'Skatewing And Bacon Banh Mi']","Same item, space in Skate Wing."
Slaw,['Slaw'],Individual item (form factor split)
Slider,"['Slider Special', 'Sliders']",Slider items
SmRgSbord,"['Smorbord', 'SmöRgåSbord']",Individual item (was in misc group)
Smashed Chinese Cucumbers,['Smashed Chinese Cucumbers'],Individual item (form factor split)
Smoke Sturgeon,['Smoke Sturgeon'],Individual item (form factor split)
Smoked Salmon Succotash,"['Smoked Salmon Succotash', 'Smoked Salmon Sorrel']","Same dish, spelling variant"
Smoked Storugeon,['Smoked Storugeon'],Individual item (form factor split)
Smoked Sturgeon,['Smoked Sturgeon'],Individual item (form factor split)
Smoked Tomato Cream Scallops,['Smoked Tomato Cream Scallops'],Individual item (form factor split)
Smoked Tomato Mussels,['Smoked Tomato Mussels'],Individual item (form factor split)
Smorrebrod,['Smorrebrod'],"Same Scandinavian dish, spelling/encoding variants"
Soda Bread,['Soda Bread'],Individual item (form factor split)
Soda Bread Lap Cheong,['Soda Bread & Lap Cheong'],Individual item (form factor split)
Soup,"['Butternut Squash Soup', 'Carrot & Coriander', 'Carrot Coriander Soup', 'Carrot Soup', 'Chilled Elote Soup', 'Chilled Elote Soup & Shrimp', 'Clam Chowder', 'Creole Gumbo', 'Curry Dal Soup', 'Egg Drop Soup', 'Gazpacho', 'Gumbo', 'Hot And Sour Soup', ""Lion'S Mane Mushroom Umami Broth"", 'Market Clam Chowder', 'Miso Soup', 'Mushroom Umami Soup', 'Potato Soup', 'Quart Of Cold Cucumber Soup', 'Quart Soup (M)', 'Small Soup (M)', 'Smoked Chicken & Duck Noodle Soup', 'Soup Of The Day', 'Soup Of The Day:  Sancocho', 'Soups Market', 'Tom Kai With Scallops', 'Tom Kha Mussels', 'Tom Kha Shrimp', 'Soup', 'Soup Of The Day: Sancocho']",Soup variants.
Spatzle,['Spatzle'],Individual item (form factor split)
Spec Chili N Eggs,['Spec Chili N Eggs'],Individual item (form factor split)
Spec Ricotta Pancakes,['Spec Ricotta Pancakes'],Individual item (form factor split)
Special Dessert,['Special Dessert'],Individual item (was in misc group)
Special Side,['Special Side'],Individual item (was in misc group)
Special: Pei Mussels With Pomodoro White Wine And Basil,['Special: Pei Mussels With Pomodoro White Wine And Basil'],Individual item (form factor split)
"Special: Scallops With Pomdoro, Pesto, And Basil","['Special: Scallops With Pomdoro, Pesto, And Basil']",Individual item (form factor split)
Special: Scallops With Pomodoro And Pesto,['Special: Scallops With Pomodoro And Pesto'],Individual item (was in misc group)
Special: Scallops With Thai Peanut Sauce,['Special: Scallops With Thai Peanut Sauce'],Individual item (form factor split)
